title,authors,rating,year,month,day
The Electric Kool-aid Acid Test/The Kandy Kolored Tangerine Flake Streamline Baby/Radical Chic & Mau Mauing the Flak Catchers,Tom Wolfe,3.97,1990,12,1
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,2004,9,2
The Elements of Style,William Strunk Jr./E.B. White,4.19,1999,9,3
The Elements of Style,William Strunk Jr./E.B. White,4.19,1991,12,12
The Elements of Typographic Style,Robert Bringhurst,4.24,2004,9,27
The Elements of Visual Style: The Basics of Print Design for Every PC and Mac User,Robert W. Harris,3.21,2007,5,1
The Elephant Vanishes,Haruki Murakami/Alfred Birnbaum/Jay Rubin,3.86,2003,12,1
The Elephant War,Gillian Avery,3.67,2000,10,1
The Elf Queen of Shannara (Heritage of Shannara  #3),Terry Brooks,4.04,1998,3,4
The Elfstones of Shannara (The Original Shannara Trilogy #2),Terry Brooks,3.97,2000,10,10
The Embarrassment of Riches: An Interpretation of Dutch Culture in the Golden Age,Simon Schama,4.06,1997,12,8
The Emergence of Life on Earth: A Historical and Scientific Overview,Iris Fry,4.02,2000,2,1
The Emotional Intelligence Quick Book: Everything You Need to Know to Put Your EQ to Work,Travis Bradberry/Jean Greaves/Patrick Lencioni,3.52,2005,6,7
The Emperor (The Morland Dynasty  #11),Cynthia Harrod-Eagles,4.28,1988,8,1
The Empire of Ice Cream,Jeffrey Ford/Jonathan Carroll,4.03,2006,4,1
The Empty Chair (Lincoln Rhyme  #3),Jeffery Deaver,4.05,2001,4,1
The Empty Envelope (A to Z Mysteries  #5),Ron Roy/John Steven Gurney,4.06,2009,9,9
The Enchanted Castle,E. Nesbit/H.R. Millar,3.85,1994,7,1
The Enchiridion on Faith Hope and Love (Augustine Series 1),Augustine of Hippo/Bruce Harbert/John E. Rotelle,4.04,1999,10,1
The End of Days (The Earth Chronicles  #7),Zecharia Sitchin,4.08,2007,4,3
The End of Faith: Religion  Terror  and the Future of Reason,Sam Harris,3.93,2005,9,17
The End of Nana Sahib: The Steam House (Extraordinary Voyages  #20),Jules Verne/Agnes D. Kingston,3.59,2003,7,19
The End of Obscenity: The Trials of Lady Chatterley  Tropic of Cancer  and Fanny Hill,Charles Rembar,3.88,1986,12,1
The End of the Affair,Graham Greene/Monica Ali,3.94,2004,10,7
The Ends Of The Earth: A Journey At The Dawn Of The 21st Century,Robert D. Kaplan,4.12,1996,2,27
The Ends of the Earth: A Journey to the Frontiers of Anarchy,Robert D. Kaplan,4.12,1997,1,28
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,4.16,2004,6,10
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,4.16,2004,5,11
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,4.16,2004,5,11
The Enemy (Jack Reacher  #8),Lee Child,4.16,2007,4,28
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,4.16,2004,6,10
The Engagement,Georges Simenon/Anna Moschovakis/John N. Gray,3.75,2007,3,6
The English Novel: An Introduction,Terry Eagleton,3.77,2004,8,6
The English Patient: A Screenplay (Screen and Cinema),Anthony Minghella/Michael Ondaatje,3.86,1997,2,24
The Enneads,Plotinus/Stephen MacKenna/John M. Dillon,4.06,1991,6,27
The Enneagram Made Easy: Discover the 9 Types of People,Renee Baron/Elizabeth Wagele,3.82,1994,3,11
The Enormous Crocodile,Roald Dahl/Quentin Blake,3.78,2003,3,24
The Epic of Gilgamesh,Anonymous/Maureen Kovacs,3.68,1989,8,1
The Epic of Gilgamesh,Anonymous/N.K. Sandars,3.68,1976,6,1
The Epic of Gilgamesh,Anonymous/N.K. Sandars,3.68,2006,5,4
The Ernest Hemingway Audio Collection,Ernest Hemingway/Charlton Heston,4.3,2001,5,8
The Erotic Phenomenon,Jean-Luc Marion/Stephen E. Lewis,4.03,2006,11,15
The Essential Augustine,Augustine of Hippo/Vernon J. Bourke,3.69,1978,8,1
The Essential Frankenstein,Mary Wollstonecraft Shelley/Leonard Wolf/Christopher H. Bing,3.79,1993,10,1
The Essential Iliad,Homer/Sheila Murnaghan/Stanley Lombardo,3.86,2000,9,15
The Essential Interviews,Bob Dylan/Jonathan Cott,4.11,2006,5,17
The Essential John Nash,John F. Nash/Harold William Kuhn/Sylvia Nasar,3.89,2007,3,18
The Essential Kierkegaard,Søren Kierkegaard/Howard Vincent Hong/Edna Hatlestad Hong,4.2,2000,6,19
The Essential Neruda: Selected Poems,Pablo Neruda/Mark Eisner/Lawrence Ferlinghetti/Robert Hass/Stephen Mitchell/Alastair Reid/Forrest Gander/Jack Hirschman/Stephen Kessler/John Felstiner,4.46,2004,4,1
The Essential Writings,Georg Wilhelm Friedrich Hegel,3.86,1977,4,21
The Eternal Champion (Eternal Champion  #1),Michael Moorcock,3.95,1996,2,1
The Eternal Flame (Merlin  #11),T.A. Barron/David Elliot,4.22,2006,10,19
The Eternal Frontier: An Ecological History of North America and Its Peoples,Tim Flannery,4.06,2002,4,17
The Eternity Code (Artemis Fowl  #3),Eoin Colfer,4.04,2003,10,1
The Eternity Code (Artemis Fowl  #3),Eoin Colfer,4.04,2005,5,3
The Eternity Code (Artemis Fowl  #3),Eoin Colfer,4.04,2003,4,3
The Ethics and Politics of Asylum: Liberal Democracy and the Response to Refugees,Matthew J. Gibney,3.55,2004,7,8
The Ethics of Ambiguity,Simone de Beauvoir/Bernard Frechtman,4.15,2000,6,1
The Ethics of Authenticity,Charles Taylor,3.92,1992,9,22
The Ethics of Rhetoric,Richard M. Weaver,4.14,1995,11,3
The Everyday I Ching,Sarah Dening,4.19,1997,1,15
The Everyman Anthology of Poetry for Children,Gillian Avery/Everyman's Library/Thomas Benwick,4.14,1994,9,27
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,2003,9,22
The Evolution Of Desire: Strategies of Human Mating,David M. Buss,4.08,2003,6,26
The Evolution of the Gilgamesh Epic,Jeffrey H. Tigay,3.82,2003,2,21
The Executioner's Song,Norman Mailer,4.06,1998,4,28
The Extraordinary Cases of Sherlock Holmes,Arthur Conan Doyle,4.21,1994,6,1
The Eye of Charon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #2),Richard A. Knaak,3.91,2006,9,26
The Eye of the I: From Which Nothing is Hidden,David R. Hawkins,4.38,2001,6,23
The Eye of the Story: Selected Essays and Reviews,Eudora Welty,4.06,1990,8,29
The Eyes of Darkness,Leigh Nichols/Dean Koontz,3.88,1996,7,1
The Eyes of Heisenberg,Frank Herbert,3.43,2002,9,16
The Eyes of the Dragon,Stephen King/David Palladini,3.93,1987,12,8
The Eyre Affair (Thursday Next  #1),Jasper Fforde,3.91,2003,2,25
The Eyre Affair (Thursday Next  #1),Jasper Fforde,3.91,2001,7,19
The Fabric of the Cosmos: Space  Time and the Texture of Reality,Brian Greene,4.11,2004,2,24
The Fabric of the Cosmos: Space  Time and the Texture of Reality,Brian Greene,4.11,2005,2,24
The Face,Dean Koontz,3.71,2004,4,27
The Face of Another,Kōbō Abe/E. Dale Saunders,3.78,2003,2,4
The Face on the Milk Carton (Janie Johnson  #1),Caroline B. Cooney,3.73,1996,4,13
The Facilitator's Book of Questions: Tools for Looking Together at Student and Teacher Work,David  Allen/Tina Blythe/Gene Thompson-Grove,4.0,2004,4,29
The Facts in the Case of the Departure of Miss Finch,Neil Gaiman/Michael Zulli,3.54,2008,4,1
The Faerie Queene,Edmund Spenser,3.56,2001,6,1
The Faerie Queene: Books I to III,Edmund Spenser/Douglas Brooks-Davies,3.79,1993,11,15
The Fairy Godmother (Five Hundred Kingdoms  #1),Mercedes Lackey,3.97,2004,10,25
The Faiths of the Founding Fathers,David L. Holmes,3.89,2006,3,1
The Fall,Albert Camus/Justin O'Brien,4.04,1991,5,7
The Fall of Berlin 1945,Antony Beevor,4.29,2003,4,29
The Fall of Hyperion (Hyperion Cantos  #2),Dan Simmons,4.2,1992,2,20
The Fall of a Sparrow,Robert Hellenga,3.69,1999,7,6
The Fall of the Kings (Riverside  #3),Ellen Kushner/Delia Sherman,3.65,2003,9,30
The Falls,Joyce Carol Oates,3.58,2005,8,2
The Family Idiot 5: Gustave Flaubert 1821-1857,Jean-Paul Sartre/Carol Cosman,3.8,1994,1,26
The Family That Couldn't Sleep: A Medical Mystery,D.T. Max,3.91,2007,9,11
The Family Trade (The Merchant Princes  #1),Charles Stross,3.52,2005,5,1
The Family that Couldn't Sleep,D.T. Max,3.91,2006,9,5
The Fantasies of Robert A. Heinlein,Robert A. Heinlein,3.9,2002,5,17
The Fantastic Vampire: Studies in the Children of the Night: Selected Essays from the Eighteenth International Conference on the Fantastic in the Arts,James Craig Holte,0.0,2002,3,30
The Fantasy Worlds of Peter Beagle,Peter S. Beagle,4.21,1979,9,12
The Fantasy Writer's Assistant and Other Stories,Jeffrey Ford,4.09,2002,8,1
The Far Pavilions,M.M. Kaye,4.21,1997,1,15
The Far Pavilions,M.M. Kaye,4.21,1988,12,12
The Far Side of Evil,Sylvia Engdahl,3.98,2005,1,13
The Farming of Bones,Edwidge Danticat,4.07,1999,9,1
The Farthest Shore (Earthsea Cycle  #3),Ursula K. Le Guin,4.12,2004,11,1
The Fashion System,Roland Barthes/Matthew    Ward/Richard Howard,3.54,1990,7,25
The Fate of Reason: German Philosophy from Kant to Fichte,Frederick C. Beiser,4.52,1993,10,15
The Favored Child (The Wideacre Trilogy  #2),Philippa Gregory,3.62,2003,7,2
The Feast Of All Saints,Anne Rice,3.85,1997,12,4
The Feast of All Saints,Anne Rice,3.85,1992,1,28
The Feeling Good Handbook,David D. Burns,4.0,1999,10,28
The Feelings Book: The Care & Keeping of Your Emotions,Lynda Madison/Bonnie Timmons/Norm Bendell,4.16,2002,9,1
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,2003,9,5
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,2004,6,1
The Female Brain,Louann Brizendine,3.83,2006,8,1
The Female of the Species: Tales of Mystery and Suspense,Joyce Carol Oates,3.62,2007,1,15
The Feminine Mystique,Betty Friedan/Anna Quindlen,3.86,2001,9,17
The Feynman Lectures on Physics  3 Vols,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.6,1989,1,1
The Feynman Lectures on Physics Vol 2,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.62,2005,9,1
The Feynman Lectures on Physics Vol 3,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.63,2005,9,1
The Feynman Lectures on Physics Vols 3-4,Richard P. Feynman,4.71,2004,5,12
The Feynman Lectures on Physics Vols 5-6,Richard P. Feynman,4.59,2004,11,3
The Feynman Lectures on Physics Vols 7-8,Richard P. Feynman,4.8,2006,1,3
The Fiery Cross (Outlander  #5),Diana Gabaldon/Janos Farkas,4.27,2005,8,30
The Fifth Mountain,Paulo Coelho/Clifford E. Landers,3.62,2000,4,26
The Filth,Grant Morrison/Chris Weston/Gary Erskine,3.75,2004,6,1
The Final Battle (Tales from the Odyssey  #6),Mary Pope Osborne/Troy Howell,4.08,2005,7,1
The Final Detail (Myron Bolitar  #6),Harlan Coben,4.02,2005,5,1
The Final Frontiersman: Heimo Korth and His Family  Alone in Alaska's Arctic Wilderness,James   Campbell,4.21,2005,9,13
The Final Season: Fathers  Sons  and One Last Season in a Classic American Ballpark,Tom Stanton,4.16,2002,5,8
The Final Unfinished Voyage of Jack Aubrey (Aubrey & Maturin #21),Patrick O'Brian/Richard Snow,3.99,2004,10,17
The Finer Points of Sausage Dogs (Portuguese Irregular Verbs  #2),Alexander McCall Smith,3.69,2004,12,28
The Firefly,P.T. Deutermann,3.77,2004,11,30
The Fires of Heaven (The Wheel of Time  #5),Robert Jordan,4.16,1994,7,4
The Firm,Robin Waterfield/John Grisham,4.01,2000,2,15
The First Deadly Sin (Deadly Sins  #2),Lawrence Sanders,4.04,1987,4,15
The First Four Years  (Little House  #9),Laura Ingalls Wilder/Garth Williams,3.89,2007,1,2
The First Four Years (Little House  #9),Laura Ingalls Wilder/Cherry Jones,3.89,2006,6,13
The First Man in Rome (Masters of Rome  #1),Colleen McCullough,4.11,1990,9,28
The First Philosophers: The Presocratics and Sophists,Robin Waterfield/Anaximander/Anaximenes/Empedocles/Gorgias of Leontini/Heraclitus/Parmenides/Protagoras/Pythagoras/Thales/Thrasymachus/Zeno of Elea,3.95,2000,11,30
The Fish Kisser,James  Hawkins,3.4,2001,11,1
The Five Bells and Bladebone (Richard Jury  #9),Martha Grimes,3.93,2002,6,1
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.04,2002,4,11
The Five People You Meet in Heaven,Mitch Albom,3.93,2005,9,2
The Five People You Meet in Heaven,Mitch Albom,3.93,2003,9,23
The Fixer,Bernard Malamud/Jonathan Safran Foer,3.96,2004,5,5
The Flame Trees of Thika: Memories of an African Childhood,Elspeth Huxley,4.12,2000,2,1
The Flanders Panel,Arturo Pérez-Reverte/Margaret Jull Costa,3.79,2004,6,7
The Flash: Dead Heat,Mark Waid/Oscar Jimenez/Humberto Ramos/José Marzán Jr./Wayne Faucher,3.93,2000,8,1
The Flight of Icarus,Raymond Queneau/Barbara Wright,3.99,1973,1,17
The Floating Opera and The End of the Road,John Barth,4.03,1997,3,11
The Flood-Tide (Morland Dynasty  #9),Cynthia Harrod-Eagles,4.25,1986,2,1
The Flying Sorcerers: More Comic Tales of Fantasy,Peter Haining/Roald Dahl/Terry Pratchett/Angela Carter/Arthur C. Clarke/Kurt Vonnegut Jr./C.S. Lewis/P.G. Wodehouse/Michael Moorcock/L. Sprague de Camp/Fletcher Pratt/Eric Knight/Mervyn Peake/Piers Anthony/John Collier/Fredric Brown/Nelson S. Bond/Thomas M. Disch/Robert Bloch/Stephen Leacock/John Wyndham/Stanisław Lem/Cordwainer Smith/Robert Sheckley/William F. Nolan/Harry Harrison,3.99,1999,2,4
The Footprints of God,Greg Iles,3.77,2004,12,28
The Forbidden (Vampire Huntress  #5),L.A. Banks,4.27,2006,6,27
The Forest House (Avalon  #2),Marion Zimmer Bradley/Diana L. Paxson,3.86,1995,4,1
The Foretelling,Alice Hoffman,3.84,2006,9,1
The Forever War (The Forever War  #1),Joe Haldeman,4.15,2003,9,2
The Forgotten,Elie Wiesel/Stephen Becker,3.94,1995,1,31
The Forsaken (Vampire Huntress  #7),L.A. Banks,4.35,2006,6,27
The Fortress of Solitude,Jonathan Lethem,3.88,2005,1,6
The Fortunate Pilgrim,Mario Puzo,3.83,2004,9,28
The Foundations of Modern Political Thought: Volume One: The Renaissance,Quentin Skinner,4.36,1979,2,15
The Foundling,Georgette Heyer/Kay Hooper,3.87,2003,3,25
The Foundling and Other Tales of Prydain,Lloyd Alexander,3.93,2006,5,16
The Fountainhead,Ayn Rand,3.87,2005,4,26
The Fountainhead,Ayn Rand/Leonard Peikoff,3.87,1996,9,1
The Fountains of Paradise,Arthur C. Clarke,3.96,1979,1,1
The Four Loves,C.S. Lewis,4.14,2002,6,5
The Fourteen Sisters of Emilio Montez O'Brien,Oscar Hijuelos,3.69,2003,12,23
The Fourth Book of Lost Swords: Farslayer's Story (Lost Swords  #4),Fred Saberhagen,3.84,1990,3,15
The Fourth Crusade: And the Sack of Constantinople,Jonathan Phillips,4.04,2005,4,7
The Fourth Hand,John Irving,3.31,2003,4,29
The Fourth of July Story,Alice Dalgliesh/Marie Nonnast,4.03,1995,6,1
The Franco-Prussian War,Michael Eliot Howard,4.09,2001,11,11
The Franklin Affair,Jim Lehrer,3.12,2006,6,13
The Fraternity of the Stone (Mortalis  #2),David Morrell,4.16,1992,7,16
The Free Bards (Bardic Voices  #1-3),Mercedes Lackey,4.18,1997,5,1
The French Kitchen: A Cookbook,Joanne Harris/Fran Warde,4.09,2003,11,3
The Frequencies,Noah Eli Gordon,4.32,2003,1,1
The Friday Night Knitting Club (Friday Night Knitting Club  #1),Kate Jacobs,3.42,2007,1,18
The Frog King,Frank McConnell,3.6,1990,7,1
The Frogs,Aristophanes/B.B. Rogers,3.8,2005,1,1
The Fuck-Up,Arthur Nersesian,3.55,1999,5,1
The Fugitive Factor (On The Run  #2),Gordon Korman,4.13,2005,6,1
The Full Box (Full  #1-4),Janet Evanovich/Charlotte Hughes,4.29,2016,2,16
The Full Cupboard of Life (No. 1 Ladies' Detective Agency  #5),Alexander McCall Smith,4.02,2004,4,20
The Full Matilda,David Haynes,4.0,2004,5,11
The Further Inquiry,Ken Kesey/Ron Bevirt,3.63,1990,10,1
The Future of Spacetime,Stephen Hawking/Kip S. Thorne/Igor Novikov/Timothy Ferris/Alan Lightman/Richard     Price,3.94,2003,6,17
The Future of the Universe,Jack Meadows,3.8,2006,12,1
The Gabriel Hounds,Mary  Stewart,3.92,2006,11,28
The Gambler,Fyodor Dostoyevsky/Jonathan Franzen,3.89,2005,10,1
The Gambler/Bobok/A Nasty Story,Fyodor Dostoyevsky/Jessie Coulson,3.99,1966,5,27
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74,2005,9,6
The Gangs of New York,Herbert Asbury/Jorge Luis Borges,3.6,2001,10,30
The Gap Into Madness: Chaos and Order (Gap  #4),Stephen R. Donaldson,4.15,1994,6,1
The Gap Into Power: A Dark and Hungry God Arises (Gap  #3),Stephen R. Donaldson,4.08,2009,10,21
The Gap Into Vision: Forbidden Knowledge (Gap  #2),Stephen R. Donaldson,3.99,2010,7,21
The Gardens of Emily Dickinson,Judith Farr/Louise Carter,3.84,2005,10,1
The Gate of Fire (Oath Of Empire Book Two),Thomas Harlan,3.58,2001,6,18
The Gatekeeper: A Memoir,Terry Eagleton,3.78,2003,6,2
The General in His Labyrinth,Gabriel García Márquez/Edith Grossman,3.68,2004,10,26
The Genome War: How Craig Venter Tried to Capture the Code of Life and Save the World,James Shreeve,3.83,2005,6,28
The Georgics of Virgil,Virgil/David Ferry,3.85,2006,5,2
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,1998,2,2
The Ghost Map: The Story of London's Most Terrifying Epidemic—and How It Changed Science  Cities  and the Modern World,Steven Johnson,3.9,2006,11,1
The Ghost Stories of Edith Wharton,Edith Wharton/Laszlo Kubinyi,3.89,1997,10,10
The Ghost in the Machine,Arthur Koestler,4.0,1990,12,7
The Ghosts in Baker Street: New Tales of Sherlock Holmes,Martin H. Greenberg/Daniel Stashower,3.58,2006,1,9
The Gift,Vladimir Nabokov/Michael Scammell/Dmitri Nabokov,4.0,2001,4,5
The Gift of Asher Lev,Chaim Potok,4.16,1997,9,10
The Gift of the Magi and Other Short Stories,O. Henry,4.15,1992,2,5
The Giggler Treatment,Roddy Doyle/Brian Ajhar,4.17,2001,7,20
The Gilded Web (Web  #1),Mary Balogh,3.58,2006,11,28
The Gilgamesh Epic and Old Testament Parallels,Alexander Heidel,3.95,1963,9,15
The Giraffe Who Was Afraid of Heights (Physical & Behavioral Adaptation),David A. Ufer/Kirsten Carlson,3.87,2006,6,1
The Giraffe and the Pelly and Me,Roald Dahl/Quentin Blake,3.82,2001,11,29
The Girl  the Dragon  and the Wild Magic (Rhianna  #1),Dave Luckett,3.86,2003,10,1
The Girl Who Loved Tom Gordon,Stephen King,3.59,2000,2,1
The Girl With The Golden Eyes,Honoré de Balzac,3.35,2004,6,17
The Girl at the Lion d'Or,Sebastian Faulks,3.58,1999,12,7
The Girl in a Swing,Richard  Adams,3.52,1982,10,1
The Girl in the Flammable Skirt,Aimee Bender,3.88,1999,8,17
The Girl in the Glass,Jeffrey Ford,3.72,2005,8,16
The Girl with the Long Green Heart,Lawrence Block,3.75,2005,11,1
The Girlhood Diary of Louisa May Alcott  1843-1846: Writings of a Young Author,Louisa May Alcott/Kerry A. Graves,3.91,2000,9,1
The Giver (The Giver  #1),Lois Lowry,4.13,2006,1,24
The Glass Bead Game,Hermann Hesse/Richard Winston/Clara Winston/Theodore Ziolkowski,4.11,2002,12,6
The Glass Books of the Dream Eaters (Miss Temple  Doctor Svenson  and Cardinal Chang  #1),Gordon Dahlquist,3.5,2006,12,15
The Glass Castle,Jeannette Walls/Julia Gibson,4.27,2005,11,1
The Glass Castle,Jeannette Walls,4.27,2006,1,17
The Glass House (Captain Lacey  #3),Ashley Gardner,4.04,2004,12,7
The Glass Lake,Maeve Binchy,3.93,2005,6,29
The Glorious Impossible,Madeleine L'Engle/Giotto di Bondone,4.25,1990,9,30
The Glory and the Dream: A Narrative History of America 1932-72,William Manchester,4.43,1984,7,1
The God Delusion,Richard Dawkins,3.9,2006,10,18
The God in the Moon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #1),Richard A. Knaak,3.74,2006,7,25
The God of Small Things,Arundhati Roy,3.94,1997,5,1
The Godfather,Mario Puzo/Peter Bart/Robert Thompson,4.37,2005,10,4
The Gods Themselves,Isaac Asimov,4.09,2000,2,10
The Gold Coast (Three Californias Triptych  #2),Kim Stanley Robinson,3.7,1995,5,15
The Golden Apples,Eudora Welty,3.88,1956,9,14
The Golden Country,Shūsaku Endō/Francis Mathy,3.79,2003,8,15
The Golden Key,Melanie Rawn/Kate Elliott/Jennifer Roberson,3.82,1997,9,19
The Golden Notebook,Doris Lessing,3.76,1999,2,3
The Golden Tulip,Rosalind Laker,3.94,1991,9,1
The Gonzo Way: A Celebration of Dr. Hunter S. Thompson,Anita Thompson,3.96,2007,7,1
The Good  the Bad  and the Undead (The Hollows  #2),Kim Harrison,4.26,2005,1,25
The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,2009,3,4
The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,2004,9,15
The Good Fairies of New York,Martin Millar/Neil Gaiman,3.51,2006,9,8
The Good Ghouls' Guide to Getting Even (Beth Frasier #1),Julie Kenner,3.59,2007,4,3
The Good Guy,Dean Koontz/Richard Ferrrone,3.82,2007,5,29
The Good Guy,Dean Koontz,3.82,2007,5,29
The Good House,Tananarive Due,3.94,2006,12,1
The Good Housekeeping Illustrated Cookbook,Good Housekeeping/Zoe Coulson,4.37,1980,10,1
The Good Husband of Zebra Drive (No. 1 Ladies' Detective Agency #8),Alexander McCall Smith,4.07,2007,4,17
The Good Liar,Gregory Maguire,3.54,2002,5,28
The Good Soldier,Ford Madox Ford/Frank Kermode,3.72,2005,3,28
The Goon Show  Volume 11: He's Fallen in the Water!,NOT A BOOK,5.0,1995,10,2
The Goon Show  Volume 4: My Knees Have Fallen Off!,NOT A BOOK,5.0,1996,4,1
The Goon Show: Moriarty Where Are You?,NOT A BOOK,4.43,2005,3,30
The Gospel According to Jesus Christ,José Saramago/Giovanni Pontiero,4.29,1999,12,26
The Gospel According to Jesus Christ,José Saramago/Giovanni Pontiero,4.29,1994,9,28
The Gospel According to Job,Mike Mason,4.46,2002,10,3
The Gospel According to Luke,Anonymous/Thomas Cahill,4.64,1999,10,29
The Gospel According to Tolkien: Visions of the Kingdom in Middle-Earth,Ralph C. Wood,4.09,2003,10,31
The Gospel According to the Beatles,Steve Turner,3.77,2006,8,3
The Gospel of Filth: A Bible of Decadence & Darkness,Gavin Baddeley/Dani Filth,4.45,2010,2,5
The Gospel of the Flying Spaghetti Monster,Bobby Henderson,3.93,2006,3,28
The Governess; or  The Little Female Academy,Sarah Fielding/Candace Ward,2.63,2005,9,26
The Grace Awakening: Believing in Grace Is One Thing. Living it Is Another,Charles R. Swindoll,4.33,2006,11,19
The Grail: A Year Ambling & Shambling Through an Oregon Vineyard in Pursuit of the Best Pinot Noir Wine in the Whole Wild World,Brian  Doyle/Mary Miller Doyle,4.01,2006,4,1
The Grand Inquisitor: with related chapters from The Brothers Karamazov,Fyodor Dostoyevsky/Constance Garnett/Charles Guignon,4.36,1993,10,1
The Grapes of Wrath,John Steinbeck/Robert DeMott/Mick Wiggins,3.96,2006,3,28
The Grapes of Wrath,John Steinbeck,3.96,2001,3,1
The Grapes of Wrath and Other Writings 1936–1941: The Long Valley / The Grapes of Wrath / The Log from the Sea of Cortez / The Harvest Gypsies,John Steinbeck/Elaine Steinbeck/Robert DeMott,4.41,1996,9,1
The Grass Crown (Masters of Rome  #2),Colleen McCullough,4.3,1992,7,1
The Grass Harp  Including A Tree of Night and Other Stories,Truman Capote,4.01,1993,9,28
The Gravedigger's Daughter,Joyce Carol Oates,3.55,2007,5,29
The Gray-Eyed Goddess (Tales from the Odyssey  #4),Mary Pope Osborne/Troy Howell/Homer,4.09,2003,9,30
The Great American Novel,Philip Roth,3.63,1995,4,11
The Great And Secret Show (Book of the Art #1),Clive Barker,4.05,1990,4,26
The Great Ape Project: Equality Beyond Humanity,Paola Cavalieri/Peter Singer,4.05,1994,12,15
The Great Divorce,C.S. Lewis,4.28,2002,2,1
The Great Gatsby,F. Scott Fitzgerald/Alexander Scourby,3.91,2002,3,13
The Great Gatsby,F. Scott Fitzgerald/Matthew J. Bruccoli,3.91,1995,6,1
The Great Gatsby,F. Scott Fitzgerald/Tim Robbins,3.91,2002,10,1
The Great Gatsby,Kathleen Parkinson/F. Scott Fitzgerald,3.88,2003,11,25
The Great Gatsby,F. Scott Fitzgerald,3.91,1994,1,13
The Great Gatsby,F. Scott Fitzgerald,3.91,1925,9,1
The Great Good Place: Cafes  Coffee Shops  Bookstores  Bars  Hair Salons  and Other Hangouts at the Heart of a Community,Ray Oldenburg,3.83,1999,8,18
The Great Good Thing (The Sylvie Cycle  #1),Roderick Townley,3.9,2003,9,1
The Great House of God,Max Lucado,4.25,2001,10,31
The Great Influenza: The Story of the Deadliest Pandemic in History,John M. Barry,3.96,2005,10,4
The Great Philosophers: An Introduction to Western Philosophy,Bryan Magee/Myles Burnyeat/Martha C. Nussbaum/Anthony Kenny/Bernard Williams/Anthony Quinton/Michael  Ayres/John Passmore/Geoffrey Warnock/Peter Singer/Frederick Charles Copleston/J. P. Stern/Hubert L. Dreyfus/Sidney Morgenbesser/A.J. Ayer/John Rogers Searle,4.07,2001,1,18
The Great Wave: Price Revolutions and the Rhythm of History,David Hackett Fischer,3.97,1999,11,11
The Great World,David Malouf,3.88,1999,5,20
The Great and Secret Show (Book of the Art #1),Clive Barker,4.05,1999,11,3
The Greatest Generation,Tom Brokaw,4.01,2001,5,1
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,2004,4,1
The Greek Islands,Lawrence Durrell,3.89,2002,4,8
The Greek's Royal Mistress (Princess Brides  #2),Jane Porter,3.69,2004,9,24
The Green Mile,Stephen King,4.44,1996,9,1
The Green Pearl (Lyonesse  #2),Jack Vance,4.16,1987,6,15
The Green Toenails Gang (Olivia Sharp  Agent for Secrets #4),Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus,3.77,2005,7,12
The Greenlanders,Jane Smiley,3.9,2005,9,13
The Gremlins,Roald Dahl/Artists and Writers Guild/Walt Disney Company/Leonard Maltin,3.44,2006,9,26
The Grotesque,Patrick McGrath,3.62,1997,1,28
The Ground Beneath Her Feet,Salman Rushdie,3.79,2000,3,16
The Group,Mary McCarthy,3.66,1964,9,1
The Guardian,Jane Hamilton,3.72,1994,12,31
The Guardian,Nicholas Sparks,4.15,2005,4,1
The Guardship (Thomas Marlowe  #1),James L. Nelson,4.01,2000,1,5
The Guermantes Way  (In Search of Lost Time  #3),Marcel Proust/Mark Treharne/Christopher Prendergast,4.3,2005,5,31
The Guermantes Way (In Search of Lost Time  #3),Marcel Proust/C.K. Scott Moncrieff/Terence Kilmartin/D.J. Enright,4.3,1998,11,3
The Guide to Dan Brown's the Solomon Key,Greg  Taylor,2.98,2005,9,30
The Guide to Hollywood and Beverly Hills,Charles Lockwood,4.33,1984,1,16
The Gun Seller,Hugh Laurie,3.68,1998,10,1
The Guns of August,Barbara W. Tuchman/Robert K. Massie,4.17,2004,8,3
The Gunslinger,Stephen King,3.96,2003,6,23
The Gunslinger,Mary McBride,4.1,1994,12,23
